BTC-FRSP	0,01	0,00000006
BTC-SPHR	0,01	0,00000800
BTC-GUP	0,01	0,00000027
BTC-PTOY	0,01	0,00000035
BTC-AID	0,00	0,00000092
BTC-LUNA	0,00	0,00002783
BTC-MRPH	0,00	0,00000867
BTC-VEE	0,00	0,00000010
BTC-ABYSS	0,00	0,00000095
BTC-TEMCO	0,00	0,00000000
BTC-CPT	0,00	0,00000000
BTC-PAL	0,00	0,00000000
