"MarketName":"BTC-BURST","High":0.00000214,"Low":0.00000157,"Volume":27302858.49084370,"Last":0.00000164,"BaseVolume":49.38657655,"TimeStamp":"2017-08-17T05:29:07.75","Bid":0.00000163,"Ask":0.00000165,"OpenBuyOrders":245,"OpenSellOrders":4276,"PrevDay":0.00000198,"Created":"2014-09-16T07:41:56.047"
"MarketName":"BTC-BYC","High":0.00013577,"Low":0.00010500,"Volume":64509.28162772,"Last":0.00011287,"BaseVolume":7.64815751,"TimeStamp":"2017-08-17T05:25:18.97","Bid":0.00011287,"Ask":0.00011335,"OpenBuyOrders":182,"OpenSellOrders":1041,"PrevDay":0.00011533,"Created":"2014-11-03T19:02:45.96"
"MarketName":"BTC-CANN","High":0.00000526,"Low":0.00000436,"Volume":2881146.75981980,"Last":0.00000480,"BaseVolume":13.49889128,"TimeStamp":"2017-08-17T05:29:04.14","Bid":0.00000473,"Ask":0.00000481,"OpenBuyOrders":191,"OpenSellOrders":5002,"PrevDay":0.00000445,"Created":"2014-08-10T06:48:44.83"
"MarketName":"BTC-CFI","High":0.00005736,"Low":0.00004129,"Volume":6476598.64182432,"Last":0.00004669,"BaseVolume":313.30870134,"TimeStamp":"2017-08-17T05:29:07.5","Bid":0.00004670,"Ask":0.00004696,"OpenBuyOrders":402,"OpenSellOrders":2996,"PrevDay":0.00004349,"Created":"2017-06-19T19:59:14.78"
"MarketName":"BTC-CLAM","High":0.00168892,"Low":0.00155000,"Volume":3286.03152979,"Last":0.00159707,"BaseVolume":5.21116775,"TimeStamp":"2017-08-17T05:29:14.92","Bid":0.00159990,"Ask":0.00163497,"OpenBuyOrders":129,"OpenSellOrders":798,"PrevDay":0.00165117,"Created":"2015-04-18T22:04:25.183"
"MarketName":"BTC-CLOAK","High":0.00117999,"Low":0.00098002,"Volume":35606.95955169,"Last":0.00099000,"BaseVolume":38.01454015,"TimeStamp":"2017-08-17T05:29:15.67","Bid":0.00099000,"Ask":0.00099140,"OpenBuyOrders":292,"OpenSellOrders":1635,"PrevDay":0.00118000,"Created":"2014-06-04T08:53:18.563"
"MarketName":"BTC-CLUB","High":0.00010187,"Low":0.00007200,"Volume":282897.16807951,"Last":0.00009232,"BaseVolume":25.05839042,"TimeStamp":"2017-08-17T05:29:12.89","Bid":0.00009205,"Ask":0.00009319,"OpenBuyOrders":99,"OpenSellOrders":2004,"PrevDay":0.00007669,"Created":"2015-12-18T00:30:10.31"
"MarketName":"BTC-COVAL","High":0.00000134,"Low":0.00000117,"Volume":8315763.60332973,"Last":0.00000121,"BaseVolume":10.33701801,"TimeStamp":"2017-08-17T05:25:51.83","Bid":0.00000121,"Ask":0.00000125,"OpenBuyOrders":276,"OpenSellOrders":3098,"PrevDay":0.00000125,"Created":"2015-01-22T19:11:45.903"
"MarketName":"BTC-CPC","High":0.00014999,"Low":0.00009250,"Volume":259186.84246419,"Last":0.00011606,"BaseVolume":31.34261316,"TimeStamp":"2017-08-17T05:28:50.293","Bid":0.00011606,"Ask":0.00011609,"OpenBuyOrders":117,"OpenSellOrders":1883,"PrevDay":0.00010998,"Created":"2015-07-25T06:30:32.53"
"MarketName":"BTC-CRB","High":0.00016500,"Low":0.00012885,"Volume":175810.73752078,"Last":0.00014004,"BaseVolume":25.22773234,"TimeStamp":"2017-08-17T05:29:07.767","Bid":0.00013542,"Ask":0.00014001,"OpenBuyOrders":102,"OpenSellOrders":1716,"PrevDay":0.00015500,"Created":"2017-06-13T19:40:35.203"
"MarketName":"BTC-CRW","High":0.00020999,"Low":0.00017059,"Volume":71780.08895235,"Last":0.00017386,"BaseVolume":13.45918180,"TimeStamp":"2017-08-17T05:29:11.203","Bid":0.00017070,"Ask":0.00017400,"OpenBuyOrders":153,"OpenSellOrders":1310,"PrevDay":0.00019245,"Created":"2017-03-06T21:10:15.663"
"MarketName":"BTC-CURE","High":0.00007574,"Low":0.00005101,"Volume":589296.15584598,"Last":0.00005695,"BaseVolume":35.04600621,"TimeStamp":"2017-08-17T05:29:10.017","Bid":0.00005564,"Ask":0.00005695,"OpenBuyOrders":162,"OpenSellOrders":1587,"PrevDay":0.00005203,"Created":"2014-05-13T09:00:00"
"MarketName":"BTC-CVC","High":0.00015691,"Low":0.00013501,"Volume":13339067.63491544,"Last":0.00013997,"BaseVolume":1944.45830675,"TimeStamp":"2017-08-17T05:29:13.017","Bid":0.00013996,"Ask":0.00013997,"OpenBuyOrders":1185,"OpenSellOrders":4352,"PrevDay":0.00015149,"Created":"2017-07-16T23:04:18.867"
"MarketName":"BTC-DAR","High":0.00010994,"Low":0.00007191,"Volume":417394.70449608,"Last":0.00008510,"BaseVolume":36.20332524,"TimeStamp":"2017-08-17T05:29:15.687","Bid":0.00008301,"Ask":0.00008514,"OpenBuyOrders":158,"OpenSellOrders":1099,"PrevDay":0.00007068,"Created":"2016-12-22T02:42:44.38"
"MarketName":"BTC-DASH","High":0.05527918,"Low":0.04960964,"Volume":12296.24318138,"Last":0.05462638,"BaseVolume":652.18177623,"TimeStamp":"2017-08-17T05:29:13.407","Bid":0.05462635,"Ask":0.05462638,"OpenBuyOrders":730,"OpenSellOrders":2530,"PrevDay":0.05000586,"Created":"2014-03-11T08:00:00"
"MarketName":"BTC-DCR","High":0.00678654,"Low":0.00574282,"Volume":18154.32935492,"Last":0.00589964,"BaseVolume":110.82076036,"TimeStamp":"2017-08-17T05:29:15.78","Bid":0.00576200,"Ask":0.00589942,"OpenBuyOrders":303,"OpenSellOrders":2575,"PrevDay":0.00671623,"Created":"2016-02-09T21:06:51.577"
"MarketName":"BTC-DCT","High":0.00039500,"Low":0.00026691,"Volume":1114958.11872286,"Last":0.00033991,"BaseVolume":371.68083593,"TimeStamp":"2017-08-17T05:28:48.543","Bid":0.00033799,"Ask":0.00033991,"OpenBuyOrders":291,"OpenSellOrders":1763,"PrevDay":0.00038555,"Created":"2017-06-30T16:35:24.643"
"MarketName":"BTC-DGB","High":0.00000392,"Low":0.00000310,"Volume":293526857.13533268,"Last":0.00000316,"BaseVolume":990.20340403,"TimeStamp":"2017-08-17T05:29:07.937","Bid":0.00000315,"Ask":0.00000316,"OpenBuyOrders":923,"OpenSellOrders":17561,"PrevDay":0.00000384,"Created":"2014-08-20T07:09:57.207"
"MarketName":"BTC-DGD","High":0.02220000,"Low":0.01740581,"Volume":3368.35535431,"Last":0.01859998,"BaseVolume":64.59065956,"TimeStamp":"2017-08-17T05:29:16.157","Bid":0.01802046,"Ask":0.01859990,"OpenBuyOrders":93,"OpenSellOrders":515,"PrevDay":0.01889604,"Created":"2016-06-14T16:25:12.063"
"MarketName":"BTC-DMD","High":0.00106541,"Low":0.00096000,"Volume":9703.24729350,"Last":0.00101999,"BaseVolume":9.86570820,"TimeStamp":"2017-08-17T05:22:49.063","Bid":0.00101999,"Ask":0.00102000,"OpenBuyOrders":332,"OpenSellOrders":1224,"PrevDay":0.00106000,"Created":"2015-05-01T17:31:24.97"
"MarketName":"BTC-DOGE","High":0.00000044,"Low":0.00000038,"Volume":295706663.01016942,"Last":0.00000039,"BaseVolume":121.98317309,"TimeStamp":"2017-08-17T05:28:40.857","Bid":0.00000039,"Ask":0.00000040,"OpenBuyOrders":657,"OpenSellOrders":7560,"PrevDay":0.00000042,"Created":"2014-02-13T00:00:00"
"MarketName":"BTC-DOPE","High":0.00000810,"Low":0.00000503,"Volume":5824623.65810295,"Last":0.00000700,"BaseVolume":40.10804786,"TimeStamp":"2017-08-17T05:29:15.233","Bid":0.00000674,"Ask":0.00000692,"OpenBuyOrders":228,"OpenSellOrders":2113,"PrevDay":0.00000513,"Created":"2014-10-17T19:09:32.6"
"MarketName":"BTC-DRACO","High":0.00000370,"Low":0.00000301,"Volume":3501649.95497444,"Last":0.00000328,"BaseVolume":11.29695190,"TimeStamp":"2017-08-17T05:26:06.27","Bid":0.00000328,"Ask":0.00000331,"OpenBuyOrders":253,"OpenSellOrders":1940,"PrevDay":0.00000312,"Created":"2016-07-23T19:02:39.123"
"MarketName":"BTC-DTB","High":0.00021102,"Low":0.00019103,"Volume":75854.20260842,"Last":0.00020001,"BaseVolume":15.05739886,"TimeStamp":"2017-08-17T05:27:28.57","Bid":0.00019554,"Ask":0.00019999,"OpenBuyOrders":147,"OpenSellOrders":2285,"PrevDay":0.00019860,"Created":"2017-04-01T04:06:13.887"
"MarketName":"BTC-DYN","High":0.00054723,"Low":0.00046774,"Volume":12526.55543540,"Last":0.00048050,"BaseVolume":6.14215434,"TimeStamp":"2017-08-17T05:29:06.657","Bid":0.00046825,"Ask":0.00048034,"OpenBuyOrders":191,"OpenSellOrders":874,"PrevDay":0.00049523,"Created":"2017-03-23T00:10:19.403"
"MarketName":"BTC-EBST","High":0.00003879,"Low":0.00003257,"Volume":155727.35370857,"Last":0.00003627,"BaseVolume":5.43078358,"TimeStamp":"2017-08-17T05:25:41.173","Bid":0.00003626,"Ask":0.00003627,"OpenBuyOrders":150,"OpenSellOrders":2058,"PrevDay":0.00003880,"Created":"2016-09-15T15:47:38.92"
"MarketName":"BTC-EDG","High":0.00020574,"Low":0.00018100,"Volume":1429173.81031775,"Last":0.00019043,"BaseVolume":271.91818321,"TimeStamp":"2017-08-17T05:29:15.203","Bid":0.00018702,"Ask":0.00019043,"OpenBuyOrders":569,"OpenSellOrders":2279,"PrevDay":0.00019150,"Created":"2017-04-18T00:56:59.243"
"MarketName":"BTC-EFL","High":0.00003289,"Low":0.00002513,"Volume":1055555.98729923,"Last":0.00002538,"BaseVolume":30.49781687,"TimeStamp":"2017-08-17T05:22:54.173","Bid":0.00002538,"Ask":0.00002580,"OpenBuyOrders":184,"OpenSellOrders":1206,"PrevDay":0.00002981,"Created":"2014-03-20T20:00:00"
"MarketName":"BTC-EGC","High":0.00009304,"Low":0.00005000,"Volume":13868478.70972516,"Last":0.00007379,"BaseVolume":1005.38611496,"TimeStamp":"2017-08-17T05:29:11.093","Bid":0.00007313,"Ask":0.00007379,"OpenBuyOrders":712,"OpenSellOrders":1944,"PrevDay":0.00005845,"Created":"2016-01-18T21:01:43.837"
"MarketName":"BTC-EMC","High":0.00023408,"Low":0.00020328,"Volume":22086.29550990,"Last":0.00021257,"BaseVolume":4.77835249,"TimeStamp":"2017-08-17T05:28:41.87","Bid":0.00021320,"Ask":0.00021357,"OpenBuyOrders":106,"OpenSellOrders":1067,"PrevDay":0.00023307,"Created":"2016-01-06T05:28:04.553"
"MarketName":"BTC-EMC2","High":0.00001200,"Low":0.00000990,"Volume":3657098.38973269,"Last":0.00000990,"BaseVolume":40.42885820,"TimeStamp":"2017-08-17T05:27:52.227","Bid":0.00000992,"Ask":0.00000998,"OpenBuyOrders":122,"OpenSellOrders":2455,"PrevDay":0.00001145,"Created":"2014-12-24T00:00:00"
"MarketName":"BTC-ENRG","High":0.00002182,"Low":0.00001919,"Volume":198013.58520744,"Last":0.00001994,"BaseVolume":4.03605770,"TimeStamp":"2017-08-17T05:18:09.77","Bid":0.00001994,"Ask":0.00001995,"OpenBuyOrders":144,"OpenSellOrders":1687,"PrevDay":0.00002080,"Created":"2014-05-04T00:00:00"
"MarketName":"BTC-ERC","High":0.00006498,"Low":0.00004337,"Volume":502807.29265456,"Last":0.00004702,"BaseVolume":27.32690585,"TimeStamp":"2017-08-17T05:28:17.773","Bid":0.00004702,"Ask":0.00004748,"OpenBuyOrders":148,"OpenSellOrders":1161,"PrevDay":0.00004802,"Created":"2014-05-10T17:00:00"
"MarketName":"BTC-ETC","High":0.00350489,"Low":0.00316721,"Volume":116543.42968328,"Last":0.00325475,"BaseVolume":383.74067871,"TimeStamp":"2017-08-17T05:29:15.797","Bid":0.00321777,"Ask":0.00325426,"OpenBuyOrders":419,"OpenSellOrders":6079,"PrevDay":0.00333206,"Created":"2016-07-26T18:10:22.82"
"MarketName":"BTC-ETH","High":0.07350000,"Low":0.06827965,"Volume":100414.26957027,"Last":0.06975000,"BaseVolume":7077.53909298,"TimeStamp":"2017-08-17T05:29:04.733","Bid":0.06975000,"Ask":0.06990435,"OpenBuyOrders":2765,"OpenSellOrders":10701,"PrevDay":0.07109229,"Created":"2015-08-14T09:02:24.817"
"MarketName":"BTC-EXCL","High":0.00020589,"Low":0.00015033,"Volume":119619.32109820,"Last":0.00016242,"BaseVolume":21.05102555,"TimeStamp":"2017-08-17T05:28:18.663","Bid":0.00016001,"Ask":0.00016234,"OpenBuyOrders":228,"OpenSellOrders":924,"PrevDay":0.00015401,"Created":"2014-09-28T20:33:27.633"
"MarketName":"BTC-EXP","High":0.00050937,"Low":0.00044591,"Volume":46487.15555916,"Last":0.00044742,"BaseVolume":22.10070621,"TimeStamp":"2017-08-17T05:29:07.093","Bid":0.00044743,"Ask":0.00045757,"OpenBuyOrders":132,"OpenSellOrders":1947,"PrevDay":0.00049650,"Created":"2015-09-16T17:10:15.253"
"MarketName":"BTC-FAIR","High":0.00014086,"Low":0.00010431,"Volume":334233.41969515,"Last":0.00011433,"BaseVolume":40.24852689,"TimeStamp":"2017-08-17T05:28:39.247","Bid":0.00011429,"Ask":0.00011658,"OpenBuyOrders":277,"OpenSellOrders":830,"PrevDay":0.00010451,"Created":"2014-12-12T19:51:07.703"
